@relation Quiniela_predicted

@attribute team1-id numeric
@attribute team2-id numeric
@attribute percent-match-local-win numeric
@attribute percent-match-local-defeat numeric
@attribute percent-match-draw numeric
@attribute percent-team1-win numeric
@attribute percent-team2-win numeric
@attribute percent-team1-seasonWins numeric
@attribute percent-team1-seasonLocalWins numeric
@attribute percent-team1-seasonLocalDraws numeric
@attribute percent-team1-seasonLocalDefeats numeric
@attribute team1-average numeric
@attribute team1-local-average numeric
@attribute team1-average-ppm numeric
@attribute team1-streak numeric
@attribute team1-players-value numeric
@attribute team1-average-player-value numeric
@attribute percent-team2-seasonWins numeric
@attribute percent-team2-seasonVisitorWins numeric
@attribute percent-team2-seasonVisitorDraws numeric
@attribute percent-team2-seasonVisiorDefeats numeric
@attribute team2-average numeric
@attribute team2-local-average numeric
@attribute team2-average-ppm numeric
@attribute team2-streak numeric
@attribute team2-players-value numeric
@attribute team2-average-player-value numeric
@attribute 'prediction margin' numeric
@attribute 'predicted type' {v,e,d}
@attribute type {v,e,d}

@data
1,34,0.259259,0.148148,0.592593,0.203704,0.203704,1,1,0,0,1,1,3,1,5624.975202,175.780475,0,0,0,1,1,0,0,-1,4570.482858,117.191868,0.999984,v,v
36,34,0.32,0.18,0.5,0.22,0.28,0.666667,0.5,0.5,0,0,0.333333,2,-1,4760.22747,132.228541,0.333333,0,0.5,0.5,0.5,1,1.333333,-1,4570.482858,117.191868,0.304486,e,e
35,34,0.305556,0.305556,0.388889,0.305556,0.305556,0.307692,0.571429,0.142857,0.285714,0.421053,0.125,1,-1,4422.040086,184.25167,0.384615,0.142857,0.428571,0.428571,0.384615,0.6,1.538462,1,4570.482858,117.191868,0.433098,v,v
37,34,0.204545,0.295455,0.5,0.204545,0.295455,0.2,0.25,0.5,0.25,0.166667,0.071429,1,0,4099.550449,120.575013,0.333333,0.125,0.375,0.5,0.333333,0.454545,1.333333,-2,4570.482858,117.191868,-0.524035,e,v
7,34,0.266667,0.266667,0.466667,0.35,0.183333,0.333333,0.444444,0.333333,0.222222,0.166667,0.16129,1,2,4613.461156,107.289794,0.333333,0.111111,0.333333,0.555556,0.3,0.375,1.333333,-2,4570.482858,117.191868,0.541728,v,v
43,34,0.083333,0.083333,0.833333,0.083333,0.083333,0.238095,0.4,0.4,0.2,0.169811,0,1,0,4703.075478,195.961478,0.285714,0.1,0.3,0.6,0.26087,0.222222,1.142857,-3,4570.482858,117.191868,0.082188,v,v
39,34,0.346154,0.192308,0.461538,0.346154,0.192308,0.217391,0.363636,0.272727,0.363636,0.297297,0.04,0,0,4322.367013,113.7465,0.304348,0.181818,0.272727,0.545455,0.192308,0.2,1.217391,-2,4570.482858,117.191868,-0.751211,v,d
2,34,0.277778,0.259259,0.462963,0.37037,0.166667,0.814815,1,0,0,0.208333,0.62069,2,5,5606.229349,143.74947,0.296296,0.153846,0.230769,0.615385,0.25,0.2,1.185185,0,4570.482858,117.191868,0.999726,v,v
38,34,0,0.75,0.25,0.5,0.25,0.419355,0.6875,0.1875,0.125,0.333333,0.395349,1,2,5015.201554,135.545988,0.290323,0.133333,0.266667,0.6,0.25,0.1875,1.193548,-1,4570.482858,117.191868,0.932747,v,v
36,1,0.25,0.305556,0.444444,0.180556,0.375,0.428571,0.25,0.75,0,0.047619,0.2,1,0,4760.22747,132.228541,0.857143,0.75,0.25,0,0,0.636364,2.714286,4,5624.975202,175.780475,0.977766,e,e
